userId,itemId,rating,timestamp
276,70,5.0,973104942
276,110,5.0,973104653
276,356,5.0,973104433
276,370,4.0,973104967
276,480,5.0,973104797
276,524,4.0,973104815
276,527,5.0,983896192
276,589,5.0,973104653
276,593,5.0,983896192
276,608,5.0,973104756
276,908,5.0,973104756
276,953,4.0,973104451
276,954,4.0,973104433
276,1035,5.0,973104797
276,1037,4.0,973104575
276,1080,3.0,973104451
276,1090,5.0,973104654
276,1259,5.0,973104756
276,1327,3.0,973104833
276,1580,5.0,973104833
276,1673,4.0,973104730
276,1969,1.0,973105009
276,2291,4.0,973104833
276,2355,3.0,973104730
276,2454,4.0,973104908
276,2455,4.0,973104873
276,2456,2.0,973105030
276,2460,1.0,973105009
276,2529,5.0,973104654
276,2530,3.0,973104942
276,2532,3.0,973104942
276,2628,5.0,973104433
276,2657,4.0,973104852
276,2791,4.0,973104756
276,2858,5.0,973104654
276,3114,4.0,983896192
276,3354,4.0,973104967
276,3408,4.0,973104797
276,3450,5.0,973104654
276,3481,3.0,973104797
276,3510,5.0,973104852
276,3513,3.0,973104852
276,3555,5.0,973104815
276,3624,4.0,973104873
276,3753,4.0,973104756
276,3836,5.0,973104797
276,3930,4.0,973104887
276,3957,3.0,973104987
276,3984,5.0,973104654
417,17,3.0,951617625
417,92,1.0,949213286
417,106,5.0,951617866
417,213,4.0,949212180
417,246,5.0,951617344
417,260,4.0,949212733
417,296,4.0,949212269
417,306,4.0,949212312
417,307,5.0,951617657
417,527,5.0,949212518
417,539,3.0,949211353
417,549,4.0,949212312
417,593,4.0,951617726
417,608,4.0,949213484
417,665,4.0,949212061
417,750,5.0,949212115
417,771,4.0,949212019
417,800,5.0,949212349
417,923,4.0,951617259
417,953,4.0,949213241
417,988,5.0,949211447
417,1097,3.0,949211353
417,1147,5.0,949212733
417,1172,5.0,949213131
417,1193,4.0,949212115
417,1196,4.0,949211079
417,1198,4.0,949211476
417,1224,4.0,951617573
417,1295,5.0,951617946
417,1316,5.0,978655240
417,1354,4.0,949212269
417,1617,4.0,949212312
417,1639,4.0,949211476
417,1704,3.0,949213183
417,1873,2.0,949212673
417,1957,5.0,951617775
417,2020,5.0,949213241
417,2075,4.0,949212733
417,2160,4.0,951617726
417,2289,4.0,949212585
417,2324,3.0,949211781
417,2336,4.0,952904841
417,2357,4.0,949212077
417,2395,5.0,949211681
417,2396,4.0,949211781
417,2599,4.0,949212417
417,2677,5.0,949211648
417,2683,3.0,949211884
417,2686,4.0,949211781
417,2692,4.0,949211681
417,2700,4.0,949211781
417,2706,3.0,949211826
417,2858,4.0,949212180
417,2970,3.0,949212733
417,2973,5.0,951617432
417,2997,5.0,949211573
417,3100,4.0,949211801
417,3129,4.0,951616591
417,3155,4.0,978655240
417,3578,4.0,964884148
417,3598,4.0,964884105
417,3623,3.0,964884148
417,3720,5.0,964884194
417,3793,3.0,964884105
417,3983,4.0,978654986
417,3996,5.0,978654873
488,110,4.0,962433673
488,111,4.0,962434822
488,162,3.0,962434019
488,296,3.0,962434157
488,349,4.0,962433838
488,368,1.0,962434968
488,457,5.0,962433673
488,480,4.0,962433702
488,527,5.0,962434124
488,588,4.0,962434507
488,589,5.0,962433702
488,590,4.0,962433791
488,593,4.0,962434176
488,595,4.0,962434507
488,599,4.0,962434929
488,745,5.0,962434800
488,858,4.0,962433568
488,899,3.0,962434507
488,903,4.0,962434576
488,908,4.0,962434800
488,912,4.0,962434669
488,913,5.0,962434373
488,924,5.0,962434576
488,952,2.0,962433819
488,969,5.0,962433702
488,1035,3.0,962133657
488,1036,4.0,962433673
488,1148,5.0,962433964
488,1203,4.0,962434124
488,1207,4.0,962434097
488,1208,4.0,962434890
488,1210,4.0,962133635
488,1212,5.0,962434576
488,1213,5.0,962434226
488,1219,3.0,962434422
488,1221,5.0,962433568
488,1230,5.0,962434685
488,1234,5.0,962434226
488,1240,4.0,962433602
488,1247,5.0,962434699
488,1252,4.0,962434373
488,1254,5.0,962433819
488,1258,4.0,962434422
488,1260,3.0,962434373
488,1262,5.0,962433774
488,1266,4.0,962434929
488,1267,4.0,962434373
